Data Source,World Development Indicators,2017,2018,2019,2020,2021,2022,2023
Angola,AGO,9.65568924,9.352542877,11.06135941,,,,9.910849571
Albania,ALB,58.0177803,56.08029938,61.4085083,61.58530045,59.96987152,62.6479187,64.72934723
Argentina,ARG,89.23294067,90.97283173,95.0775528,99.26622772,107.130661,107.0479126,
American Samoa,ASM,,,,,,,
Azerbaijan,AZE,28.46706009,28.97249031,32.92218018,36.38547134,39.00960159,41.00178146,41.39075851
Bulgaria,BGR,81.22458649,83.13488007,84.75031281,85.53311157,85.30175018,84.12935638,
Bosnia and Herzegovina,BIH,46.41592026,43.15710831,41.59703827,40.88134003,43.57767868,44.63267136,44.98439026
Belarus,BLR,91.32614899,84.53964233,80.17201996,76.89089203,73.95913696,70.86756897,67.06204224
Belize,BLZ,24.77198982,24.64558983,25.0688591,25.70165062,23.51840019,23.7802906,22.7051506
Brazil,BRA,50.02674866,51.19168854,52.62406158,54.57279968,56.83061981,60.39062119,
Botswana,BWA,22.4400692,,22.97429085,24.01279068,22.90464973,22.37685013,21.79083443
China,CHN,51.5827713,54.00762177,57.27544022,62.23677826,67.38761902,71.98155212,74.82360077
Colombia,COL,58.39604187,57.32054138,56.66630173,55.73310852,58.31592178,59.29013824,
Costa Rica,CRI,54.4580307,52.86867905,54.71897125,,,,
Cuba,CUB,40.4316597,41.59437943,43.99377823,45.92990875,51.07854843,41.4838562,48.94345856
Dominica,DMA,,,,,,,
Dominican Republic,DOM,59.91558838,63.14624023,64.38413239,58.72640991,56.46908188,55.16653061,
Algeria,DZA,49.37791061,53.1637001,54.1856308,53.61402893,54.20999146,53.40124893,55.51889038
Ecuador,ECU,,47.33118057,47.26277924,56.90663147,,59.87977982,
Fiji,FJI,82.95452881,79.92614746,78.26115417,84.20236969,76.64936066,68.40775299,60.32419205
Gabon,GAB,,,19.6197319,,14.73838329,,
Grenada,GRD,95.37757874,96.89232635,,,,,
Hungary,HUN,49.91027069,50.8998909,52.36103821,54.60203934,56.52500916,58.07025146,
"Iran, Islamic Rep.",IRN,68.12741089,62.71047211,59.95137024,57.34032822,55.798069,60.69453812,
Iraq,IRQ,,,,,,,
Jamaica,JAM,,,,,,,
Jordan,JOR,28.62105942,31.55629921,30.11083984,30.28796959,30.4513092,32.51197815,33.05670166
Kazakhstan,KAZ,51.06547928,53.51586151,59.58197784,64.84986115,61.22680283,58.94273376,56.52710342
Lebanon,LBN,43.99457932,47.27510834,50.3490181,51.6985817,58.44414139,61.59561157,60.16672134
Libya,LBY,,,,,,,
Maldives,MDV,34.77801895,,51.36136246,28.30890083,24.84251785,49.95344543,
Mexico,MEX,40.33906937,41.63827896,43.04413986,45.16545105,45.65061951,46.40613174,
Marshall Islands,MHL,,,41.47465134,,,53.50614929,
Montenegro,MNE,60.9102211,58.18315125,56.26332092,58.09447098,57.96139145,57.4317894,55.17430115
Mauritius,MUS,39.66188049,40.40781021,42.98786926,42.5378418,43.95772171,44.20267868,
Malaysia,MYS,43.66804504,45.27841568,43.19771576,42.40976715,40.91426086,40.2706604,41.26185608
Namibia,NAM,23.35707092,24.9616394,27.74831009,28.36824036,,28.8917408,
Panama,PAN,,,,45.22066116,53.04459,58.17351151,
Peru,PER,71.24655151,,,,,,
Palau,PLW,,,,,,40.54487228,34.6185379
Romania,ROU,50.51081848,51.99435043,52.44396973,53.49111176,55.26560974,58.23904037,
Serbia,SRB,67.58305359,68.32183075,69.04138184,68.57550812,69.29070282,72.03343201,73.20600128
Suriname,SUR,,,,,8.801739693,5.95138979,
Seychelles,SYC,42.20819855,38.85813141,41.29703903,26.93425941,26.87014961,13.93041039,14.03413963
Thailand,THA,47.7228775,46.53995132,45.44073868,43.1145401,44.08308792,43.96060944,46.17520905
Turkmenistan,TKM,,,12.97550011,14.34871006,16.41584015,18.25165939,
Tonga,TON,,,,21.27829933,,,51.21950912
Tunisia,TUN,31.01753044,31.14035034,31.82082939,33.13193893,33.8982811,37.80490875,38.45016861
Turkiye,TUR,110.5340729,115.4624634,117.0054703,118.8836823,125.7637863,127.5779724,
Tuvalu,TUV,,,,,,,
"Venezuela, RB",VEN,,,,,,,
South Africa,ZAF,21.41712952,23.38998032,24.01927948,25.12968063,25.35660934,27.17432022,
